Район,Улица,Станция метро,"Время до метро, мин.",Количество комнат,"Общая площадь, м.кв.","Жилая площадь, м.кв.",Цена,Год постройки,Тип дома,Этаж,Количество этажей в доме,"Площадь кухни, м.кв.",Количество санузлов,Тип ремонта,Количество подъездов в доме
Царицыно, Кавказский бул.,Кантемировская,11,1,35.2,-,11950000,1967,Блочный,4,12,9.0,1,Дизайнерский,1
Арбат, ул. Арбат,Смоленская,3,3,106.3,-,68000000,1910,Кирпичный,8,8,-,1,Дизайнерский,3
Раменки, Минская ул.,Ломоносовский проспект,15,2,75.0,35.0,40000000,2005,Монолитный,7,22,7.0,1,Дизайнерский,6
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,2,64.2,27.0,41500000,2022,-,9,41,19.0,1,Дизайнерский,1
Хамовники, Зубовский бул.,Парк Культуры,7,3,57.4,37.1,31990000,1933,Кирпичный,6,8,9.5,1,Евроремонт,8
Раменки, Ломоносовский просп.,Университет,5,3,107.0,82.0,99000000,2013,Кирпичный,15,19,20.0,2,Дизайнерский,12
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,94.3,-,67000000,2012,Монолитный,10,53,-,2,Дизайнерский,4
Бутырский, ул. Яблочкова,Фонвизинская,8,3,67.5,45.0,21200000,1967,-,4,9,7.0,1,Дизайнерский,7
Хорошевский, ул. Зорге,Зорге,12,3,65.1,-,38950000,2022,-,16,27,-,1,Дизайнерский,3
поселение, Сосенки деревня,Ольховая,16,2,60.0,40.0,19200000,2013,Монолитный,6,9,12.0,1,Дизайнерский,5
Кунцево, Молодогвардейская ул.,Кунцевская,6,3,60.0,43.6,22800000,1970,Блочный,7,9,5.8,1,Дизайнерский,6
Очаково-Матвеевское, Староволынская ул.,Матвеевская,18,3,128.0,90.0,73500000,2011,-,5,23,20.0,2,Дизайнерский,2
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,108.0,68.0,120000000,-,Монолитно-кирпичный,9,21,20.0,2,Дизайнерский,-
Таганский, Волгоградский просп.,Пролетарская,4,1,26.8,14.0,10300000,1968,-,6,13,6.0,1,Косметический,6
Басманный, Потаповский пер.,Чистые пруды,6,3,130.2,65.0,215000000,2023,-,4,5,36.0,2,Без ремонта,-
Хорошевский, Чапаевский пер.,Аэропорт,10,3,116.2,65.0,74990000,2006,Монолитно-кирпичный,18,22,16.0,2,Евроремонт,13
Северное, ул. Фомичевой,Сходненская,7,2,33.2,16.0,13000000,1966,Кирпичный,9,9,7.0,1,Дизайнерский,6
Перово, 2-я Владимирская ул.,Перово,15,1,30.1,-,12200000,1971,Кирпичный,4,9,7.0,-,Дизайнерский,5
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,10,3,82.5,31.0,45400000,2022,Монолитный,31,53,16.0,1,Дизайнерский,1
Сокол, ул. Алабяна,Сокол,6,2,54.7,-,21900000,1958,Кирпичный,4,8,-,1,Евроремонт,5
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,6,3,108.0,-,99700000,2023,-,9,21,-,2,Дизайнерский,1
Тверской, 1-я Тверская-Ямская ул.,Белорусская,5,2,55.7,35.0,40000000,1954,Кирпичный,8,9,8.0,1,Дизайнерский,4
Ярославский, ул. Красная Сосна,ВДНХ,6,3,63.0,33.0,24200000,2021,Монолитный,22,22,8.0,2,Дизайнерский,6
Хамовники, ул. Остоженка,Кропоткинская,6,3,185.0,-,237043398,2012,Монолитно-кирпичный,4,6,20.0,3,Косметический,5
Дорогомилово, Кутузовский просп.,Киевская,15,1,46.4,-,46000000,2020,Монолитный,8,11,-,-,Без ремонта,3
Хорошевский, ул. Куусинена,Полежаевская,3,2,43.0,31.3,15750000,1960,Кирпичный,4,8,6.0,1,Косметический,5
Дорогомилово, Кутузовский просп.,Киевская,15,3,144.0,-,122400000,2020,Монолитный,8,11,-,-,Без ремонта,3
Кузьминки, ул. Федора Полетаева,Рязанский проспект,15,1,35.0,20.0,11000000,1967,-,7,12,8.5,1,Евроремонт,2
Басманный, Сыромятнический проезд,Чкаловская,8,2,44.9,30.5,19990000,1961,-,5,5,6.0,1,Косметический,4
Раменки, Мосфильмовская ул.,Раменки,14,2,85.0,57.0,54500000,2014,Кирпичный,5,18,16.0,1,Дизайнерский,13
Хамовники, ул. Ефремова,Спортивная,3,3,172.26,-,394842770,2015,Монолитный,5,7,15.0,3,Без ремонта,3
Академический, Новочеремушкинская ул.,Профсоюзная,10,1,40.9,-,17400000,-,Монолитный,6,18,-,1,Дизайнерский,-
Крылатское, ул. Крылатские Холмы,Крылатское,11,3,120.5,66.6,43000000,1998,-,2,11,18.9,3,Косметический,1
Раменки, просп. Генерала Дорохова,Минская,5,3,102.2,-,120000000,-,Монолитный,9,12,39.6,2,Дизайнерский,-
поселение, ул. Жемчужная,Филатов Луг,12,1,31.0,-,8160000,2021,-,2,6,-,1,Дизайнерский,4
Нижегородский, 3-я Карачаровская ул.,Стахановская,14,2,44.0,-,12000000,1973,Кирпичный,9,9,6.5,1,Евроремонт,3
Якиманка, ул. Шаболовка,Шаболовская,11,2,57.4,-,33000000,-,-,5,15,-,1,Дизайнерский,-
Марьино, Перервинский бул.,Братиславская,3,3,83.0,51.0,17900000,1999,Панельный,1,9,9.0,1,Евроремонт,5
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,2,56.6,-,58300000,2023,-,3,21,-,2,Дизайнерский,1
Пресненский, ул. Костикова,Улица 1905 года,9,3,128.0,-,127000000,2023,-,6,21,-,2,Дизайнерский,-
Филевский, Новозаводская ул.,Фили,2,2,56.3,36.7,19390000,1977,-,9,9,8.0,1,Евроремонт,1
Хамовники, Погодинская ул.,Киевская,14,2,78.0,-,99000000,2019,Монолитно-кирпичный,5,13,15.0,2,Без ремонта,-
Раменки, просп. Генерала Дорохова,Минская,5,3,68.7,-,39999999,2023,-,6,13,-,2,Без ремонта,-
Хорошево-Мневники, Живописная ул.,Народное Ополчение,7,3,87.1,49.2,62000000,2019,Монолитный,21,24,10.1,2,Дизайнерский,3
Таганский, Волгоградский просп.,Пролетарская,4,1,26.8,14.0,10300000,1968,-,6,13,6.0,1,Косметический,6
Бибирево, Белозерская ул.,Бибирево,5,1,37.5,19.1,10300000,1979,-,13,16,8.5,1,Евроремонт,1
Южное, Веневская ул.,Бульвар Адмирала Ушакова,5,1,38.0,19.0,10500000,1994,-,9,17,9.0,1,Косметический,4
Северное, ул. Вилиса Лациса,Планерная,9,1,35.0,20.0,10490000,1974,Панельный,8,9,6.0,1,Косметический,4
Преображенское, 2-я Пугачевская ул.,Преображенская площадь,13,1,35.2,20.1,10500000,1968,Панельный,6,12,9.7,1,Косметический,2
Перово, ул. Плеханова,Перово,8,1,38.7,20.9,10500000,1983,Панельный,3,9,8.5,1,Евроремонт,2
Северное, ул. Фомичевой,Планерная,7,2,44.3,27.9,10700000,1967,Панельный,1,9,6.0,1,Косметический,8
Дмитровский, Клязьминская ул.,Селигерская,5,2,44.0,-,10800000,1967,Блочный,10,12,-,1,Косметический,1
Усадебный, 3На карте,Филатов Луг,14,2,56.6,21.0,11200000,2022,Монолитный,1,9,20.7,1,Косметический,5
Царицыно, ул. Медиков,Царицыно,16,2,45.0,30.0,11450000,1969,Блочный,2,12,6.0,1,Косметический,1
Рязанский, ул. Михайлова,Стахановская,15,1,51.4,25.3,11800000,1956,Кирпичный,4,5,8.0,1,Косметический,3
Аэропорт, Новый Зыковский проезд,Петровский Парк,13,2,41.0,26.0,11990000,1961,Кирпичный,1,5,6.0,1,Без ремонта,4
Новогиреево, ул. Алексея Дикого,Новогиреево,7,2,44.4,28.0,12000000,1968,Панельный,2,9,6.0,1,Косметический,8
Братеево, Братеевская ул.,Борисово,9,1,37.9,18.9,12000000,1999,Панельный,12,17,9.0,1,Евроремонт,5
Аэропорт, Балтийская ул.,Сокол,10,2,41.0,25.0,12300000,1961,Кирпичный,1,5,6.0,1,Косметический,4
Южное, ул. Поляны,Улица Скобелевская,11,2,43.0,-,12630000,2019,Монолитный,29,34,18.8,1,Косметический,1
Бирюлево, Харьковский проезд,Пражская,8,2,53.5,30.6,12700000,2000,Панельный,16,17,11.2,1,Косметический,5
Северный, Дмитровское ш.,Физтех,4,3,83.3,50.0,27600000,2016,Кирпичный,1,4,16.0,1,Дизайнерский,6
Перово, ул. Плеханова,Перово,8,1,38.7,20.9,10500000,1983,Панельный,3,9,8.5,1,Евроремонт,2
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,9,1,43.1,-,25450000,2022,Монолитный,45,52,-,1,Дизайнерский,1
Мещанский, Троицкая ул.,Цветной бульвар,7,3,115.2,57.5,54990000,1991,Кирпичный,7,11,13.5,2,Евроремонт,4
Академический, ул. Вавилова,Ленинский проспект,9,2,55.1,35.2,18000000,1958,Кирпичный,2,8,7.7,1,Без ремонта,6
Пресненский, Мантулинская ул.,Деловой центр,16,3,83.7,-,120000000,2019,Монолитный,15,21,-,2,Без ремонта,5
Раменки, ул. Янковского,Аминьевская,5,3,113.5,60.5,60000000,2021,-,21,25,10.0,1,Евроремонт,-
Басманный, Старая Басманная ул.,Бауманская,12,2,62.6,21.3,30990000,1974,Панельный,10,16,34.5,1,Дизайнерский,1
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,9,2,52.0,-,33200000,2022,Монолитный,28,58,21.0,2,Без ремонта,1
Хорошевский, Ленинградский просп.,Аэропорт,12,3,114.0,78.0,80000000,2021,Монолитный,25,37,9.0,2,Без ремонта,1
Якиманка, Донская ул.,Шаболовская,8,3,99.0,58.0,140000000,2021,Монолитный,4,21,9.0,2,Дизайнерский,3
Хамовники, пер. Хилков,Парк Культуры,5,3,159.0,-,290000000,2008,Монолитный,3,6,-,2,Дизайнерский,2
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,92.12,60.0,95000000,-,Монолитно-кирпичный,3,21,10.0,2,Дизайнерский,-
Пресненский, ул. Малая Грузинская,Краснопресненская,11,1,54.5,23.0,35700000,1975,Кирпичный,12,14,11.2,1,Дизайнерский,3
Пресненский, Малый Кисловский пер.,Арбатская,6,3,94.0,-,153000000,1920,Монолитный,2,7,7.7,2,Дизайнерский,1
Можайский, ул. Петра Алексеева,Давыдково,19,3,94.0,57.0,33000000,2023,Монолитный,30,30,14.0,1,Без ремонта,9
Лефортово, ул. Крузенштерна,Авиамоторная,8,2,36.0,11.0,16790000,2023,-,3,26,17.0,1,Дизайнерский,-
Пресненский, Мантулинская ул.,Деловой центр,11,3,93.0,-,99000000,2021,Монолитный,7,20,-,2,Дизайнерский,1
Хамовники, ул. Усачева,Спортивная,8,2,97.26,51.3,170000000,2022,Монолитный,2,15,12.6,2,Евроремонт,4
Хорошево-Мневники, Живописная ул.,Щукинская,7,3,94.0,59.0,72300000,2019,Монолитный,13,22,10.0,2,Дизайнерский,3
Хамовники, пер. Хилков,Парк Культуры,5,3,126.0,72.0,215000000,2008,Монолитный,2,6,16.7,2,Дизайнерский,2
Пресненский, Малый Кисловский пер.,Арбатская,6,3,94.1,-,153000000,1920,Монолитный,2,8,7.0,2,Дизайнерский,1
Раменки, Мичуринский просп.,Раменки,7,3,65.7,44.0,24290000,1973,Панельный,8,12,7.2,1,Евроремонт,3
Пресненский, Малый Кисловский пер.,Арбатская,6,3,94.1,48.1,153000000,1920,Монолитный,2,8,-,2,Дизайнерский,1
Пресненский, Богословский пер.,Пушкинская,6,3,132.6,-,348930820,2011,Кирпичный,2,8,20.0,2,Дизайнерский,4
Митино, Муравская ул.,Пятницкое шоссе,8,2,40.0,20.0,15999000,-,Монолитный,6,24,12.0,1,Дизайнерский,-
Хорошево-Мневники, Причальный проезд,Шелепиха,8,1,35.0,-,19000000,-,Монолитный,3,32,10.0,1,Без ремонта,-
Хамовники, Гагаринский пер.,Кропоткинская,9,3,170.0,-,250000000,1901,Кирпичный,4,6,15.0,3,Дизайнерский,1
Басманный, Спартаковский пер.,Бауманская,8,3,68.5,38.8,22990000,1914,-,4,6,9.1,1,Косметический,3
Хамовники, пер. Хилков,Парк Культуры,5,3,118.7,-,214999900,2008,Монолитный,2,6,10.0,2,Дизайнерский,2
Якиманка, ул. Большая Полянка,Полянка,7,3,160.0,-,183000000,-,Монолитно-кирпичный,5,7,25.0,3,Без ремонта,-
Ломоносовский, Ленинский просп.,Университет,17,2,60.3,36.4,31000000,1958,Кирпичный,4,8,6.0,1,Дизайнерский,6
Восточное, Дубнинская ул.,Яхромская,18,1,38.0,19.5,10900000,1978,Панельный,6,16,9.8,1,Косметический,1
Ростокино, просп. Мира,Ростокино,10,3,167.0,103.7,59990000,2015,Монолитный,12,59,46.0,1,Дизайнерский,1
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,12,3,115.0,68.5,35500000,-,Монолитно-кирпичный,1,19,-,2,Косметический,-
Южнопортовый, Южнопортовая ул.,Кожуховская,1,3,98.4,58.4,25800000,1951,Кирпичный,2,5,12.5,2,Без ремонта,8
Пресненский, Большой Палашевский пер.,Пушкинская,7,2,76.1,-,70000000,1972,Кирпичный,5,12,10.0,1,Дизайнерский,1
Тверской, Благовещенский пер.,Маяковская,2,3,68.8,38.0,78450000,1902,Кирпичный,8,8,6.0,2,Дизайнерский,2
Дорогомилово, Кутузовский просп.,Москва-Сити,15,3,105.0,84.0,143500000,2020,Монолитный,10,11,-,1,Евроремонт,3
Раменки, просп. Генерала Дорохова,Минская,5,2,44.0,22.2,33499000,-,Монолитный,10,14,7.9,1,Евроремонт,-
Северное, ул. Грина,Бульвар Дмитрия Донского,9,1,38.0,19.0,10000000,1992,Панельный,8,17,8.0,1,Косметический,3
Пресненский, Богословский пер.,Пушкинская,6,3,132.6,90.0,348930820,2011,Кирпичный,2,8,15.0,2,Дизайнерский,4
Хамовники, ул. Усачева,Спортивная,7,3,136.9,-,209000000,-,-,5,12,10.0,3,Без ремонта,-
Бескудниковский, Селигерская ул.,Селигерская,3,2,38.4,24.0,10150000,1969,-,1,14,6.2,1,Косметический,1
Басманный, Потаповский пер.,Чистые пруды,6,3,130.0,-,215000000,2023,-,4,4,20.0,-,Без ремонта,-
Мещанский, ул. Гиляровского,Проспект Мира,8,3,47.0,30.0,18500000,1917,Кирпичный,5,6,8.0,1,Косметический,2
Сокол, ул. Алабяна,Сокол,10,2,61.4,-,28000000,2007,Кирпичный,6,24,-,1,Дизайнерский,3
Таганский, Волгоградский просп.,Волгоградский проспект,6,2,58.9,32.8,20000000,1958,Кирпичный,9,10,8.6,1,Без ремонта,6
Бибирево, Белозерская ул.,Бибирево,5,1,37.5,19.1,10300000,1979,-,13,16,8.5,1,Евроремонт,1
Раменки, Мичуринский просп.,Ломоносовский проспект,10,2,53.0,32.0,26900000,2006,Монолитно-кирпичный,9,23,-,1,Дизайнерский,1
Новокосино, Суздальская ул.,Новокосино,15,3,71.0,42.9,16900000,1996,Монолитный,9,17,9.5,1,Косметический,7
Нагатинский, Коломенская ул.,Кленовый бульвар,9,2,52.0,30.3,16400000,1981,Панельный,11,12,8.6,1,Косметический,6
Тверской, Воротниковский пер.,Маяковская,5,3,87.1,-,49500000,1932,-,2,4,7.3,1,Косметический,3
Преображенское, 2-я Пугачевская ул.,Преображенская площадь,13,1,35.2,20.1,10500000,1968,Панельный,6,12,9.7,1,Косметический,2
Академический, Профсоюзная ул.,Профсоюзная,3,2,54.5,32.6,20000000,1957,Кирпичный,5,8,9.3,1,Косметический,5
Якиманка, Ленинский просп.,Октябрьская,4,3,60.5,-,23700000,1966,Панельный,6,10,-,1,Без ремонта,8
Аэропорт, Балтийская ул.,Сокол,10,2,41.0,25.0,12300000,1961,Кирпичный,1,5,6.0,1,Косметический,4
Левобережный, Валдайский проезд,Беломорская,9,1,46.3,20.6,15500000,2008,Монолитный,25,25,10.0,1,Евроремонт,4
Северное, ул. Героев Панфиловцев,Сходненская,8,3,75.5,46.0,21500000,2006,Панельный,3,22,10.1,1,Косметический,1
Хамовники, Сеченовский пер.,Парк Культуры,6,3,163.0,-,218000000,2000,-,3,7,-,3,Дизайнерский,1
Аэропорт, Новый Зыковский проезд,Петровский Парк,13,2,41.0,26.0,11990000,1961,Кирпичный,1,5,6.0,1,Без ремонта,4
Щукино, Авиационная ул.,Щукинская,12,3,120.0,-,54450000,2003,Кирпичный,17,48,-,2,Евроремонт,1
Очаково-Матвеевское, ул. Малая Очаковская,Озёрная,11,1,42.0,18.0,15450000,-,Монолитно-кирпичный,18,21,15.0,1,Косметический,-
Нижегородский, ул. Нижняя Хохловка,Нижегородская,16,1,43.5,25.5,14100000,2022,-,11,24,10.0,1,Евроремонт,9
Новогиреево, Мартеновская ул.,Новогиреево,10,2,46.7,31.5,12190000,1958,Кирпичный,3,5,5.6,1,Евроремонт,3
Аэропорт, Кочновский проезд,Аэропорт,15,3,120.0,80.0,45900000,2008,Монолитный,10,34,15.0,2,Евроремонт,9
Марьина, 1-я Ямская ул.,Марьина Роща,5,3,123.0,78.0,99000000,2021,-,1,3,18.0,2,Дизайнерский,6
Кунцево, Молодогвардейская ул.,Кунцевская,7,3,96.9,-,41000000,2001,Кирпичный,16,22,-,2,Дизайнерский,1
Северное, ул. Вилиса Лациса,Планерная,9,1,35.0,20.0,10490000,1974,Панельный,8,9,6.0,1,Косметический,4
поселок, ул. Лазурная,Коммунарка,19,2,61.0,34.0,14500000,2012,Кирпичный,11,17,13.0,1,Евроремонт,3
Очаково-Матвеевское, Большая Очаковская ул.,Аминьевская,10,3,77.4,44.5,22900000,2012,Панельный,21,25,10.0,1,Евроремонт,6
Тверской, 1-я Тверская-Ямская ул.,Маяковская,4,3,78.1,50.0,68867925,1952,-,5,6,6.0,2,Евроремонт,1
Пресненский, Зоологическая ул.,Баррикадная,12,3,121.1,-,84770000,2000,Монолитно-кирпичный,4,15,10.0,2,Дизайнерский,1
Раменки, просп. Генерала Дорохова,Минская,5,3,92.1,65.0,90800000,2021,Монолитный,8,14,15.0,2,Дизайнерский,1
поселение, просп. Прокшинский,Прокшино,7,2,39.0,15.0,14600000,2023,-,10,16,13.0,1,Дизайнерский,-
Марьина, 1-я Ямская ул.,Марьина Роща,5,3,123.0,78.0,99000000,2021,-,1,3,18.0,2,Дизайнерский,6
Дорогомилово, Кутузовский просп.,Москва-Сити,15,3,105.1,-,151417612,2020,Монолитный,10,11,10.0,2,Дизайнерский,3
Раменки, ул. Лобачевского,Аминьевская,2,1,47.6,20.0,25000000,2022,-,16,39,15.0,1,Дизайнерский,3
Хамовники, Сеченовский пер.,Парк Культуры,6,3,163.0,-,218000000,2000,-,3,7,-,3,Дизайнерский,1
Хамовники, Бутиковский пер.,Парк Культуры,10,3,156.0,110.0,431572330,2003,-,2,6,20.0,3,Дизайнерский,6
Хамовники, ул. Усачева,Спортивная,5,1,30.3,20.0,23000000,1961,Кирпичный,4,5,6.0,1,Дизайнерский,4
Можайский, ул. Петра Алексеева,Давыдково,18,2,56.7,28.7,23250000,2023,Монолитный,30,30,15.9,1,Без ремонта,9
Мещанский, Большой Сергиевский пер.,Трубная,7,3,73.7,-,73459120,1913,Кирпичный,4,5,7.0,3,Дизайнерский,1
Басманный, Рубцовская наб.,Электрозаводская,14,1,44.9,19.2,16990000,1999,Панельный,11,16,10.5,1,Косметический,3
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,130.0,-,100000000,2012,Монолитный,22,53,10.0,2,Дизайнерский,4
Царицыно, ул. Бехтерева,Царицыно,18,2,45.2,29.0,11200000,1967,Панельный,5,5,6.0,1,Косметический,5
Гольяново, Курганская ул.,Щёлковская,5,2,53.3,26.9,13290000,1990,Панельный,6,14,8.5,1,Евроремонт,6
Хорошево-Мневники, Шелепихинская наб.,Хорошёвская,5,2,49.8,30.5,27000000,2023,-,9,30,9.3,1,Дизайнерский,-
Обручевский, Профсоюзная ул.,Новые Черёмушки,7,2,78.0,70.0,30700000,2012,Монолитный,6,40,-,1,Евроремонт,2
Гагаринский, ул. Косыгина,Воробьёвы горы,17,3,132.5,69.0,110000000,2010,Кирпичный,14,20,10.0,3,Евроремонт,1
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,5,3,72.2,47.2,33000000,2023,-,4,30,8.4,2,Без ремонта,-
Дорогомилово, Кутузовский просп.,Москва-Сити,11,2,60.0,36.0,35000000,1941,-,6,8,12.0,1,Евроремонт,6
Мещанский, ул. Гиляровского,Сухаревская,6,2,70.8,49.0,35000000,1998,Кирпичный,2,14,15.0,1,Без ремонта,2
Алексеевский, Новоалексеевская ул.,Алексеевская,11,3,108.0,-,47950000,2022,-,13,20,-,1,Без ремонта,8
Ломоносовский, ул. Архитектора Власова,Профсоюзная,12,3,153.7,-,49600000,2005,Монолитный,2,18,-,2,Без ремонта,5
Митино, Пятницкое ш.,Волоколамская,7,3,72.7,44.3,15500000,1992,Панельный,1,17,10.3,1,Без ремонта,8
Ростокино, просп. Мира,Ростокино,12,3,166.0,95.0,59990000,2015,Монолитный,12,59,17.0,-,Без ремонта,1
Сокол, ул. Врубеля,Сокол,13,3,81.2,-,67900000,2023,Монолитный,12,12,7.0,2,Без ремонта,4
Замоскворечье, Шлюзовая наб.,Павелецкая,7,2,68.6,-,58310000,2017,-,6,7,-,1,Дизайнерский,8
Ростокино, просп. Мира,Ростокино,12,3,166.0,95.0,59990000,2015,Монолитный,12,59,17.0,-,Без ремонта,1
Ломоносовский, ул. Архитектора Власова,Профсоюзная,12,3,153.7,-,49600000,2005,Монолитный,2,18,-,2,Без ремонта,5
Донской, Ленинский просп.,Шаболовская,15,3,76.5,-,41500000,1940,-,6,9,8.0,1,Косметический,5
Сокол, ул. Врубеля,Сокол,13,3,81.2,-,67900000,2023,Монолитный,12,12,7.0,2,Без ремонта,4
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,5,3,72.2,47.2,33000000,2023,-,4,30,8.4,2,Без ремонта,-
Кунцево, № 100 квартал,Строгино,12,1,33.5,9.8,11950000,2022,-,21,25,16.8,1,Евроремонт,-
Раменки, ул. Лобачевского,Аминьевская,8,3,86.5,52.0,30490000,2022,-,10,39,15.0,2,Без ремонта,3
Алексеевский, Новоалексеевская ул.,Алексеевская,11,3,75.5,44.1,38500000,2022,-,8,18,5.8,2,Без ремонта,8
Замоскворечье, Большая Серпуховская ул.,Серпуховская,8,2,67.4,44.0,31500000,1926,Кирпичный,5,6,7.0,1,Евроремонт,3
Дмитровский, Дмитровское ш.,Яхромская,7,3,110.55,56.0,48000000,2018,Монолитно-кирпичный,21,24,12.2,2,Дизайнерский,6
Рязанский, 1-я Новокузьминская ул.,Рязанский проспект,10,2,68.0,-,20700000,1998,Кирпичный,5,14,14.0,1,Евроремонт,2
Метрогородок, Тагильская ул.,Бульвар Рокоссовского,18,3,80.5,55.0,25000000,2021,-,19,24,15.0,1,Дизайнерский,3
Таганский, Котельническая наб.,Таганская,9,3,182.0,120.0,280000000,2022,Монолитный,5,7,20.0,3,Без ремонта,4
Хамовники, ул. Усачева,Спортивная,6,1,81.0,44.0,98000000,2022,Монолитный,8,12,20.0,1,Дизайнерский,4
Южнопортовый, Волгоградский просп.,Угрешская,6,1,37.5,-,14500000,2022,Монолитный,15,30,-,1,Без ремонта,11
Пресненский, Большой Палашевский пер.,Пушкинская,7,3,100.0,-,100000000,1972,Кирпичный,4,12,18.0,1,Евроремонт,1
Замоскворечье, Садовническая ул.,Новокузнецкая,16,3,95.7,-,140000000,2016,Монолитный,3,7,40.0,2,Дизайнерский,11
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,3,100.0,75.0,45000000,2018,Монолитный,1,19,12.0,1,Дизайнерский,-
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,120.0,83.0,108000000,-,Монолитно-кирпичный,17,21,32.0,2,Дизайнерский,-
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,12,1,49.0,-,23000000,2012,Монолитный,7,24,15.0,1,Евроремонт,6
Можайский, ул. Толбухина,Сетунь,4,2,50.7,-,17200000,2004,Монолитный,8,24,17.7,1,Евроремонт,2
Тверской, ул. Фадеева,Новослободская,8,3,110.4,57.1,97500000,2013,Монолитно-кирпичный,3,10,17.4,1,Без ремонта,9
Хамовники, Саввинская наб.,Киевская,11,2,77.0,56.0,50000000,1895,Кирпичный,2,3,11.0,1,Дизайнерский,4
Бутырский, ул. Руставели,Бутырская,7,1,43.8,12.2,16950000,2023,-,30,32,21.7,1,Косметический,-
Хамовники, Пречистенская наб.,Парк Культуры,7,3,219.2,177.0,563064155,2015,Монолитный,2,4,20.0,2,Дизайнерский,-
Донской, Ленинский просп.,Ленинский проспект,6,3,97.1,-,44900000,1940,-,2,7,15.0,1,Евроремонт,8
Арбат, ул. Новый Арбат,Смоленская,6,3,120.0,-,79000000,1998,Монолитный,14,17,-,1,Дизайнерский,2
Красносельский, Милютинский пер.,Лубянка,4,3,100.5,56.0,108840710,1898,Кирпичный,3,8,10.0,2,Евроремонт,3
Щукино, ул. Расплетина,Октябрьское поле,8,3,98.3,62.0,60000000,2006,Монолитный,5,23,10.0,2,Дизайнерский,3
Раменки, Мичуринский просп.,Раменки,10,2,70.0,35.0,37900000,2020,Монолитный,25,52,15.0,2,Без ремонта,3
Очаково-Матвеевское, Нежинская ул.,Киевская,10,3,103.0,-,49700000,2005,Монолитный,3,25,-,2,Дизайнерский,1
Якиманка, ул. Малая Полянка,Полянка,3,2,135.4,-,145000000,2007,Кирпичный,3,9,-,-,Дизайнерский,5
Ломоносовский, ул. Архитектора Власова,Профсоюзная,12,2,120.3,77.0,38500000,2005,Монолитный,2,18,6.0,2,Без ремонта,5
Хамовники, пер. Хилков,Парк Культуры,6,3,162.9,98.0,385000000,2009,Кирпичный,4,8,17.0,3,Дизайнерский,7
Мещанский, ул. Советской Армии,Достоевская,9,3,83.0,59.0,98000000,2013,Блочный,9,14,8.0,2,Евроремонт,2
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,3,64.2,27.2,41500000,2022,-,9,43,18.0,2,Дизайнерский,1
Пресненский, ул. Костикова,Улица 1905 года,9,3,87.6,58.0,91000000,2023,-,7,21,22.0,2,Евроремонт,-
Тверской, ул. Фадеева,Новослободская,8,3,172.5,95.0,225000000,2013,Монолитно-кирпичный,3,10,24.0,2,Дизайнерский,9
Якиманка, Мытная ул.,Октябрьская,11,2,53.6,-,44000000,2022,Монолитный,28,29,-,-,Дизайнерский,1
Черемушки, Херсонская ул.,Зюзино,13,3,123.9,79.0,49800000,2021,-,16,32,8.0,3,Без ремонта,3
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,2,56.58,-,58600000,-,-,3,21,10.0,1,Дизайнерский,-
Пресненский, Большая Бронная ул.,Пушкинская,8,2,65.0,44.0,91823900,-,Кирпичный,3,9,15.0,1,Евроремонт,-
Пресненский, Большая Грузинская ул.,Баррикадная,9,3,150.0,103.0,130000000,1998,-,3,13,16.0,2,Евроремонт,1
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,191.5,-,229559750,2012,Монолитный,29,53,15.0,3,Дизайнерский,4
Пресненский, ул. Костикова,Улица 1905 года,9,3,97.0,67.0,110000000,2023,-,9,21,-,2,Дизайнерский,-
Хамовники, ул. Льва Толстого,Парк Культуры,12,2,94.0,60.0,130000000,-,Монолитно-кирпичный,6,8,15.0,2,Дизайнерский,-
Хорошево-Мневники, Карамышевская наб.,Народное Ополчение,13,2,40.0,18.0,14400000,1962,Блочный,8,9,10.0,1,Дизайнерский,1
поселение, ул. Жемчужная,Филатов Луг,10,1,41.3,20.0,6700000,2021,-,1,4,12.0,1,Без ремонта,4
Очаково-Матвеевское, Озерная ул.,Озёрная,5,2,40.8,28.8,14900000,1974,Блочный,8,14,7.0,1,Дизайнерский,3
Новогиреево, Мартеновская ул.,Новогиреево,10,2,42.8,28.8,11990000,1963,Кирпичный,4,5,5.4,1,Евроремонт,4
