Район,Улица,Станция метро,"Время до метро, мин.",Количество комнат,"Общая площадь, м.кв.","Жилая площадь, м.кв.",Цена,Год постройки,Тип дома,Этаж,Количество этажей в доме,"Площадь кухни, м.кв.",Количество санузлов,Тип ремонта,Количество подъездов в доме
Ясенево, Новоясеневский просп.,Новоясеневская,3,3,54.0,42.0,13300000,1977,Панельный,5,9,7.0,1,Евроремонт,12
Хамовники, ул. Усачева,Спортивная,9,3,150.7,-,170000000,-,Монолитно-кирпичный,10,13,28.4,3,Без ремонта,-
Дорогомилово, Кутузовский просп.,Москва-Сити,15,3,105.6,62.0,89900000,-,-,10,18,11.0,2,Без ремонта,-
Очаково-Матвеевское, Озерная ул.,Озёрная,5,2,40.8,28.8,14900000,1974,Блочный,8,14,7.0,1,Дизайнерский,3
Пресненский, 1-й Красногвардейский проезд,Москва-Сити,3,2,76.1,-,62000000,2020,Монолитный,34,78,-,1,Дизайнерский,-
Хамовники, ул. Усачева,Фрунзенская,12,2,142.0,-,229559750,2008,Монолитно-кирпичный,8,11,56.0,2,Евроремонт,10
Отрадное, ул. Бестужевых,Отрадное,14,1,36.0,-,12500000,1976,Панельный,6,9,-,1,Дизайнерский,4
Хорошевский, Ленинградский просп.,Аэропорт,13,2,69.3,45.0,52000000,2021,-,3,5,8.0,1,Дизайнерский,1
Пресненский, Большая Грузинская ул.,Белорусская,12,3,126.3,-,75000000,2001,Монолитный,3,18,-,2,Дизайнерский,3
Лосиноостровский, ул. Коминтерна,Бабушкинская,15,3,64.7,43.0,17000000,1971,Блочный,11,14,9.0,1,Евроремонт,1
Хорошевский, Ленинградский просп.,Аэропорт,13,3,88.3,45.0,58500000,-,Монолитный,17,41,8.8,2,Без ремонта,-
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,116.78,37.6,120000000,2023,-,5,21,47.2,2,Евроремонт,1
Новогиреево, Мартеновская ул.,Новогиреево,10,2,42.8,28.8,11990000,1963,Кирпичный,4,5,5.4,1,Евроремонт,4
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,2,117.0,71.0,120000000,2023,-,5,21,34.0,1,Дизайнерский,1
Замоскворечье, Климентовский пер.,Новокузнецкая,3,3,135.0,-,135000000,2005,Блочный,4,12,25.0,2,Дизайнерский,4
Свиблово, ул. Амундсена,Свиблово,1,2,46.3,30.3,15490000,1970,Блочный,10,14,9.0,1,Евроремонт,1
Хамовники, ул. Усачева,Спортивная,6,2,100.1,38.6,125000000,2022,Монолитный,5,14,20.6,2,Без ремонта,4
Замоскворечье, Климентовский пер.,Новокузнецкая,3,3,135.0,-,135000000,2005,Блочный,4,12,-,2,Дизайнерский,4
Пресненский, Гранатный пер.,Баррикадная,11,3,149.0,63.0,150000000,1978,Кирпичный,4,9,31.0,2,Дизайнерский,1
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,116.7,-,120000000,2023,-,5,20,47.2,2,Дизайнерский,1
Головинский, Головинское ш.,Водный стадион,5,2,46.5,-,21900000,2021,Монолитный,11,24,-,1,Дизайнерский,2
Басманный, Чистопрудный бул.,Чистые пруды,6,2,65.0,40.0,37000000,1931,-,2,8,13.0,1,Евроремонт,11
Хорошевский, Ленинградский просп.,ЦСКА,11,3,70.6,46.0,52000000,2021,Монолитный,9,36,9.0,1,Дизайнерский,1
Хамовники, пер. Коробейников,Парк Культуры,7,3,154.2,94.7,293836480,2006,Монолитный,3,7,15.0,2,Без ремонта,9
Фили-Давыдково, Кутузовский просп.,Кунцевская,12,2,45.8,-,11000000,1958,-,1,5,5.5,1,Косметический,3
Хамовники, ул. Усачева,Спортивная,10,3,101.54,-,115000000,2019,Кирпичный,13,16,-,2,Без ремонта,8
Раменки, Мичуринский просп.,Раменки,10,3,78.0,-,37990000,2020,Монолитный,40,51,-,2,Без ремонта,3
поселение, Дома отдыха Пахра поселок,Подольск,21,2,44.3,31.8,5600000,1970,Панельный,4,5,7.5,1,Косметический,6
Хамовники, ул. Усачева,Спортивная,6,2,99.71,44.2,118450000,2022,Монолитный,9,14,12.3,2,Без ремонта,4
Пресненский, Никитский бул.,Арбатская,6,3,131.4,-,108840710,1914,-,4,7,-,2,Дизайнерский,15
Хамовники, Смоленский бул.,Смоленская,10,3,83.4,55.2,34990000,1820,Кирпичный,4,5,8.4,1,Евроремонт,4
Хамовники, ул. Ефремова,Спортивная,7,3,150.0,-,200000000,-,Монолитно-кирпичный,11,11,-,2,Евроремонт,-
Хамовники, ул. Усачева,Спортивная,6,2,100.0,56.5,113300000,2022,Монолитный,8,14,8.4,2,Без ремонта,4
Южное, бул. Яна Райниса,Сходненская,4,2,38.4,21.0,14999000,1985,Панельный,20,22,10.0,1,Дизайнерский,2
Хамовники, пер. Коробейников,Парк Культуры,7,3,154.2,94.7,293836480,2006,Монолитный,3,7,15.0,2,Без ремонта,9
Хамовники, ул. Остоженка,Кропоткинская,6,3,219.4,48.1,302192455,2012,Монолитно-кирпичный,4,6,95.0,3,Без ремонта,5
Гольяново, Красноярская ул.,Щёлковская,5,2,54.6,-,12300000,1980,Панельный,3,16,-,1,Косметический,10
Даниловский, Дубининская ул.,Павелецкая,17,3,85.0,-,56000000,2023,-,46,46,27.5,3,Без ремонта,5
Тверской, ул. Фадеева,Новослободская,8,3,110.5,-,97500000,2013,Монолитно-кирпичный,3,9,17.0,2,Без ремонта,9
Хамовники, Ружейный пер.,Смоленская,10,3,121.0,-,103000000,2008,Монолитный,7,16,-,2,Дизайнерский,9
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,150.0,-,135000000,2012,Монолитный,8,53,-,2,Дизайнерский,4
Пресненский, Лаки жилой кварталНа карте,Улица 1905 года,7,3,137.0,-,140000000,-,Монолитный,5,21,-,3,Евроремонт,-
Тверской, Большая Грузинская ул.,Белорусская,4,3,173.6,-,165000000,2008,-,3,10,15.0,3,Дизайнерский,5
Пресненский, Шмитовский проезд,Шелепиха,14,2,63.0,27.0,36000000,2023,Монолитный,38,51,23.0,1,Евроремонт,11
Пресненский, Звенигородское ш.,Улица 1905 года,12,2,44.5,-,40000000,2022,Монолитный,4,17,-,1,Дизайнерский,2
Раменки, просп. Генерала Дорохова,Минская,5,3,70.0,50.0,40000000,-,Монолитный,10,14,10.0,2,Без ремонта,-
Арбат, ул. Арбат,Смоленская,3,3,81.0,66.0,50000000,1910,Кирпичный,8,8,10.0,1,Дизайнерский,3
Пресненский, Большой Козихинский пер.,Пушкинская,9,3,90.0,75.0,80000000,1933,Кирпичный,2,7,10.0,2,Дизайнерский,2
Хамовники, ул. Усачева,Спортивная,8,3,99.9,-,159990000,2022,Монолитный,3,15,-,2,Евроремонт,4
Хамовники, ул. Усачева,Спортивная,9,3,150.7,-,169490000,-,Монолитно-кирпичный,10,13,-,3,Без ремонта,-
Якиманка, ул. Большая Полянка,Полянка,7,3,145.2,-,230000000,2019,-,7,7,10.0,2,Дизайнерский,11
Алтуфьевский, Алтуфьевское ш.,Бибирево,14,2,52.2,-,14500000,1979,Панельный,6,12,-,1,Евроремонт,6
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,2,57.23,-,63000000,2023,-,2,21,-,2,Дизайнерский,1
Замоскворечье, Садовническая ул.,Новокузнецкая,9,3,193.0,-,170000000,1900,Кирпичный,5,5,-,2,Дизайнерский,1
Хамовники, ул. Усачева,Спортивная,8,2,120.0,64.0,140000000,2022,Монолитный,7,15,20.0,3,Без ремонта,4
Пресненский, 2-я Черногрязская ул.,Улица 1905 года,15,2,55.7,-,49100000,2017,Кирпичный,4,21,7.0,1,Без ремонта,1
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,3,99.0,-,57000000,-,-,2,19,7.0,1,Дизайнерский,-
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,96.0,67.2,115000000,2023,-,9,20,15.0,2,Дизайнерский,1
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,14,2,68.0,30.0,38300000,-,Монолитный,2,24,15.0,2,Дизайнерский,-
Очаково-Матвеевское, Нежинская ул.,Давыдково,4,1,46.0,-,32000000,2021,Монолитный,4,26,-,1,Без ремонта,3
Хорошевский, Ленинградский просп.,Аэропорт,12,1,48.0,34.0,40000000,2021,Монолитный,37,37,6.0,1,Дизайнерский,1
Хамовники, Смоленский бул.,Смоленская,9,3,70.0,-,62899372,1941,Сталинский,4,8,8.0,1,Дизайнерский,7
Митино, Пятницкое ш.,Волоколамская,11,3,81.2,45.0,21750000,1998,Панельный,2,22,10.5,1,Евроремонт,2
поселение, ул. Лобановский Лес,Прокшино,10,2,38.8,28.0,14400000,2023,-,10,16,4.0,1,Дизайнерский,-
Раменки, просп. Генерала Дорохова,Минская,5,2,69.23,-,52000000,2021,Монолитный,3,13,-,2,Дизайнерский,1
Хамовники, ул. Усачева,Спортивная,10,3,242.97,-,350000000,2019,Кирпичный,11,14,30.0,3,Без ремонта,8
Таганский, Котельническая наб.,Китай-город,13,3,115.0,80.0,125000000,1953,Кирпичный,5,33,15.0,2,Дизайнерский,8
Хамовники, ул. Усачева,Спортивная,10,3,242.97,-,329870000,2019,Кирпичный,11,14,30.0,3,Без ремонта,8
Якиманка, ул. Большая Полянка,Полянка,7,2,62.0,-,82400000,-,Монолитный,1,7,-,2,Без ремонта,-
Академический, Новочеремушкинская ул.,Профсоюзная,10,3,75.0,43.3,29000000,2023,-,2,20,14.4,2,Евроремонт,-
Хамовники, ул. Пречистенка,Парк Культуры,9,2,106.2,-,70000000,1905,Кирпичный,5,10,-,2,Дизайнерский,2
Хорошево-Мневники, Причальный проезд,Шелепиха,8,2,68.2,-,36000000,-,Монолитный,25,33,15.0,2,Без ремонта,-
Сокольники, ул. Шумкина,Сокольники,9,1,33.0,17.0,14900000,1965,Кирпичный,6,9,6.0,1,Дизайнерский,3
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,11,2,57.4,28.0,39300000,-,Монолитно-кирпичный,24,24,15.6,1,Дизайнерский,-
Даниловский, Дубининская ул.,Павелецкая,17,3,85.0,-,56000000,2023,-,46,46,27.5,3,Без ремонта,5
Нагатино-Садовники, Коломенский проезд,Каширская,14,1,38.7,20.8,12550000,1982,Панельный,4,12,8.6,1,Евроремонт,8
Раменки, просп. Генерала Дорохова,Минская,5,3,71.2,37.0,46500000,-,Монолитно-кирпичный,2,14,7.0,1,Дизайнерский,-
Хамовники, Ружейный пер.,Смоленская,10,3,121.0,-,103000000,2008,Монолитный,7,16,-,2,Дизайнерский,9
Соколиная, Щербаковская ул.,Семёновская,6,2,64.5,42.0,20990000,1960,Кирпичный,10,12,8.0,1,Евроремонт,4
Тверской, ул. Фадеева,Новослободская,8,3,110.5,-,97500000,2013,Монолитно-кирпичный,3,9,17.0,2,Без ремонта,9
Тверской, Большая Грузинская ул.,Белорусская,4,3,173.6,-,165000000,2008,-,3,10,15.0,3,Дизайнерский,5
Тверской, Малый Гнездниковский пер.,Тверская,4,2,58.2,33.5,49590000,1902,Кирпичный,2,4,5.1,1,Дизайнерский,1
Пресненский, Лаки жилой кварталНа карте,Улица 1905 года,7,3,137.0,-,140000000,-,Монолитный,5,21,-,3,Евроремонт,-
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,150.0,-,135000000,2012,Монолитный,8,53,-,2,Дизайнерский,4
Даниловский, ул. Серпуховский Вал,Шаболовская,10,3,83.7,59.0,34000000,1928,Кирпичный,4,6,10.0,-,Дизайнерский,5
Пресненский, Звенигородское ш.,Улица 1905 года,12,2,44.5,-,40000000,2022,Монолитный,4,17,-,1,Дизайнерский,2
Пресненский, Шмитовский проезд,Шелепиха,14,2,63.0,27.0,36000000,2023,Монолитный,38,51,23.0,1,Евроремонт,11
поселение, ул. Лобановский Лес,Прокшино,10,2,38.8,28.0,14400000,2023,-,10,16,4.0,1,Дизайнерский,-
Пресненский, Большой Козихинский пер.,Пушкинская,9,3,90.0,75.0,80000000,1933,Кирпичный,2,7,10.0,2,Дизайнерский,2
Раменки, просп. Генерала Дорохова,Минская,5,3,70.0,50.0,40000000,-,Монолитный,10,14,10.0,2,Без ремонта,-
Нагорный, Ялтинская ул.,Севастопольская,10,1,34.6,19.7,13650000,1970,Кирпичный,5,14,8.4,1,Евроремонт,1
Якиманка, ул. Большая Полянка,Полянка,7,3,145.2,-,230000000,2019,-,7,7,10.0,2,Дизайнерский,11
Хамовники, ул. Усачева,Спортивная,9,3,150.7,-,169490000,-,Монолитно-кирпичный,10,13,-,3,Без ремонта,-
Южнопортовый, ул. Трофимова,Кожуховская,10,2,78.7,-,20990000,1959,Кирпичный,7,7,20.0,1,Дизайнерский,3
Хамовники, ул. Усачева,Спортивная,8,3,99.9,-,159990000,2022,Монолитный,3,15,-,2,Евроремонт,4
Алтуфьевский, Алтуфьевское ш.,Бибирево,14,2,52.2,-,14500000,1979,Панельный,6,12,-,1,Евроремонт,6
Головинский, Онежская ул.,Моссельмаш,17,2,40.0,24.0,13300000,1966,Блочный,4,9,7.0,1,Дизайнерский,1
Замоскворечье, Садовническая ул.,Новокузнецкая,9,3,193.0,-,170000000,1900,Кирпичный,5,5,-,2,Дизайнерский,1
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,2,57.23,-,63000000,2023,-,2,21,-,2,Дизайнерский,1
Матушкино, Зеленоград,Зеленоград — Крюково,6,1,27.6,14.8,6950000,1972,Панельный,7,12,6.6,1,Без ремонта,8
Хамовники, ул. Усачева,Спортивная,8,2,120.0,64.0,140000000,2022,Монолитный,7,15,20.0,3,Без ремонта,4
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,3,99.0,-,57000000,-,-,2,19,7.0,1,Дизайнерский,-
Мещанский, Трифоновская ул.,Рижская,6,1,33.6,19.0,15500000,1973,Кирпичный,2,9,6.8,-,Дизайнерский,7
Пресненский, 2-я Черногрязская ул.,Улица 1905 года,15,2,55.7,-,49100000,2017,Кирпичный,4,21,7.0,1,Без ремонта,1
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,96.0,67.2,115000000,2023,-,9,20,15.0,2,Дизайнерский,1
Чертаново, Варшавское ш.,Пражская,6,2,55.0,-,17690000,1981,Панельный,15,16,9.0,2,Дизайнерский,6
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,14,2,68.0,30.0,38300000,-,Монолитный,2,24,15.0,2,Дизайнерский,-
Хамовники, Смоленский бул.,Смоленская,9,3,70.0,-,62899372,1941,Сталинский,4,8,8.0,1,Дизайнерский,7
Дмитровский, Клязьминская ул.,Селигерская,5,2,44.0,-,10800000,1967,Блочный,10,12,-,1,Косметический,1
Хорошевский, Ленинградский просп.,Аэропорт,12,1,48.0,34.0,40000000,2021,Монолитный,37,37,6.0,1,Дизайнерский,1
Очаково-Матвеевское, Нежинская ул.,Давыдково,4,1,46.0,-,32000000,2021,Монолитный,4,26,-,1,Без ремонта,3
Коптево, проезд Черепановых,Коптево,8,2,56.0,32.0,16800000,1999,Панельный,4,17,10.1,1,Дизайнерский,3
Митино, Пятницкое ш.,Волоколамская,11,3,81.2,45.0,21750000,1998,Панельный,2,22,10.5,1,Евроремонт,2
Раменки, просп. Генерала Дорохова,Минская,5,2,69.23,-,52000000,2021,Монолитный,3,13,-,2,Дизайнерский,1
Аэропорт, Ленинградский просп.,Сокол,2,2,42.3,31.0,19990000,1960,Блочный,2,8,5.0,1,Дизайнерский,1
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,3,116.8,-,125700000,2023,-,9,21,10.0,2,Дизайнерский,1
Хамовники, Бутиковский пер.,Парк Культуры,10,3,118.9,-,240000000,2004,-,3,6,10.0,2,Дизайнерский,3
Ломоносовский, ул. Архитектора Власова,Профсоюзная,12,3,72.3,45.4,,2008,Монолитный,8,9,10.0,1,Косметический,6
Марьина, Октябрьская ул.,Марьина Роща,5,3,74.0,46.1,27000000,1935,Монолитный,3,7,8.0,1,Евроремонт,8
Дорогомилово, Виктори Парк Резиденсез жилой комплекс,Парк Победы,8,2,74.13,-,100000000,-,-,1,11,7.0,2,Без ремонта,-
Мещанский, пер. Васнецова,Цветной бульвар,8,2,52.0,38.0,31950000,1974,Панельный,5,12,10.0,1,Дизайнерский,3
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,2,67.1,29.0,33000000,2022,-,11,41,17.0,1,Без ремонта,1
Хамовники, ул. Ефремова,Спортивная,7,3,150.0,-,200000000,-,Монолитно-кирпичный,11,11,-,2,Евроремонт,-
Усадебный, 3На карте,Филатов Луг,14,2,56.6,21.0,11200000,2022,Монолитный,1,9,20.7,1,Косметический,5
Раменки, Мосфильмовская ул.,Раменки,9,2,90.0,40.0,56700000,2015,Кирпичный,13,21,15.0,1,Дизайнерский,9
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,135.0,80.0,85000000,2012,Монолитный,25,34,40.0,2,Дизайнерский,4
Тверской, Оружейный пер.,Маяковская,7,3,68.0,46.0,32000000,1941,Кирпичный,9,9,15.0,1,Евроремонт,4
Раменки, Минская ул.,Минская,13,3,117.0,-,101000000,2017,Монолитный,15,44,15.5,2,Дизайнерский,2
Хамовники, ул. Плющиха,Киевская,11,3,151.3,-,300000000,2017,-,2,7,-,3,Дизайнерский,4
Зябликово, ул. Мусы Джалиля,Шипиловская,5,2,46.9,30.1,13200000,1977,Панельный,11,12,7.0,1,Евроремонт,8
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,9,1,42.4,-,19450000,2022,Монолитный,18,48,-,1,Без ремонта,1
Очаково-Матвеевское, Нежинская ул.,Матвеевская,18,2,46.0,26.0,31000000,2021,Монолитный,14,24,15.0,1,Без ремонта,3
Новогиреево, ул. Алексея Дикого,Новогиреево,7,2,44.4,28.0,12000000,1968,Панельный,2,9,6.0,1,Косметический,8
Хамовники, ул. Бурденко,Парк Культуры,11,3,164.0,105.0,202012580,2012,-,3,5,20.0,3,Без ремонта,1
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,1,59.2,20.0,68000000,2020,Монолитный,6,12,27.0,2,Без ремонта,1
Северное, Студеный проезд,Медведково,12,2,46.0,-,15900000,1973,Панельный,2,9,6.0,1,Дизайнерский,6
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,11,2,70.0,35.0,46500000,-,Монолитно-кирпичный,3,24,30.0,2,Дизайнерский,-
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,191.5,-,229559750,2012,Монолитный,29,53,-,3,Дизайнерский,4
Марьино, Донецкая ул.,Курьяново,5,3,75.5,-,30000000,2018,-,26,32,-,2,Дизайнерский,7
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,130.0,-,100000000,2012,Монолитный,22,47,10.0,2,Дизайнерский,4
Раменки, просп. Генерала Дорохова,Минская,17,3,101.1,80.0,75000000,-,Монолитно-кирпичный,9,12,12.0,2,Без ремонта,-
Даниловский, Автозаводская ул.,Автозаводская,13,1,42.7,26.8,19500000,2020,Монолитный,22,24,11.4,1,Дизайнерский,3
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,2,65.6,-,82000000,2020,Монолитный,3,9,-,2,Без ремонта,1
Хорошевский, Ленинградский просп.,Аэропорт,13,2,74.7,5.0,46500000,2021,-,4,37,4.0,1,Без ремонта,1
Перово, ул. Плющева,Перово,5,2,53.0,32.5,13850000,2000,Панельный,9,10,9.2,1,Косметический,2
Раменки, Мосфильмовская ул.,Раменки,9,3,86.0,-,50000000,2015,Кирпичный,15,23,-,-,-,9
Раменки, Мосфильмовская ул.,Раменки,9,3,86.0,-,50000000,2015,Кирпичный,14,21,-,-,Без ремонта,9
Раменки, Ломоносовский просп.,Ломоносовский проспект,4,3,70.5,47.0,26590000,1960,Кирпичный,3,8,7.5,1,Евроремонт,3
Мещанский, Протопоповский пер.,Проспект Мира,5,3,117.9,60.0,80000000,2005,Монолитный,4,7,16.0,2,Евроремонт,3
Раменки, просп. Генерала Дорохова,Минская,5,3,70.2,-,50000000,2021,Монолитный,10,14,-,-,Дизайнерский,1
Восточное, Дубнинская ул.,Дегунино,3,1,33.1,19.0,9990000,1971,Панельный,5,9,6.8,1,Евроремонт,10
Раменки, Мосфильмовская ул.,Фрунзенская,5,2,59.0,-,,2020,Монолитный,6,8,-,2,Без ремонта,1
Пресненский, Лаки жилой кварталНа карте,Улица 1905 года,7,2,58.54,31.0,61000000,-,Монолитный,3,15,22.5,1,Евроремонт,-
Южное, Изюмская ул.,Улица Скобелевская,13,1,38.3,-,9300000,2009,Панельный,2,14,9.0,1,Косметический,4
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,10,3,81.0,58.0,48500000,2022,Монолитный,11,58,15.0,1,Дизайнерский,1
Замоскворечье, ул. Малая Ордынка,Третьяковская,1,3,88.0,55.0,67490000,1912,Кирпичный,2,5,8.0,1,Дизайнерский,1
Донской, Варшавское ш.,Нагатинская,12,2,44.7,30.4,14190000,1961,Монолитный,5,8,5.4,1,Евроремонт,5
Красносельский, Большая Спасская ул.,Комсомольская,9,3,68.0,50.0,66500000,2022,Монолитный,3,28,-,2,Дизайнерский,2
Пресненский, 2-я Звенигородская ул.,Улица 1905 года,7,2,56.6,-,58298000,2023,-,3,21,-,2,Дизайнерский,1
Нагатинский, Коломенская ул.,Кленовый бульвар,10,1,41.15,20.9,13400000,1982,Панельный,6,12,8.6,-,Дизайнерский,4
Хамовники, ул. Плющиха,Киевская,11,3,151.0,106.0,300000000,2017,-,2,7,20.0,3,Дизайнерский,4
